id,hf_split,reference_text_raw,reference_text_alt_raw,pred_text_raw,reference_text_clean,pred_text_clean,latency_sec,detected_language,language_probability,sampling_rate,status
1909,test,tim-tim virtual memiliki standar keunggulan yang sama dengan tim konvensional tetapi ada sedikit perbedaan,"Tim-tim virtual memiliki standar keunggulan yang sama dengan tim konvensional, tetapi ada sedikit perbedaan.","Tim-tim virtual memiliki standar keunggulan yang sama dengan tim konvensional, tetapi ada sedikit perbedaan.",tim tim virtual memiliki standar keunggulan yang sama dengan tim konvensional tetapi ada sedikit perbedaan,tim tim virtual memiliki standar keunggulan yang sama dengan tim konvensional tetapi ada sedikit perbedaan,0.45739173889160156,id,1,16000,ok
1907,test,segera setelah permusuhan pecah britania memulai blokade laut jerman,"Segera setelah permusuhan pecah, Britania memulai blokade laut Jerman.","Segera setelah permusuhan pecah, Britania memulai blokade laut Jerman.",segera setelah permusuhan pecah britania memulai blokade laut jerman,segera setelah permusuhan pecah britania memulai blokade laut jerman,0.46921634674072266,id,1,16000,ok
1675,test,semua nomina di samping kata sie untuk anda selalu dimulai dengan huruf kapital bahkan di tengah kalimat,"Semua nomina, di samping kata Sie untuk Anda, selalu dimulai dengan huruf kapital, bahkan di tengah kalimat.",Semua nomina disamping katasi untuk Anda selalu dimulai dengan hukum kapital bahkan di tengah kalimat.,semua nomina di samping kata sie untuk anda selalu dimulai dengan huruf kapital bahkan di tengah kalimat,semua nomina disamping katasi untuk anda selalu dimulai dengan hukum kapital bahkan di tengah kalimat,0.5987310409545898,id,1,16000,ok
1770,test,ini sepertinya masuk akal karena bumi tidak terasa seperti bergerak bukan begitu,"Ini sepertinya masuk akal, karena Bumi tidak terasa seperti bergerak, bukan begitu?","Ini sepertinya masuk akal, karena Bumi tidak terasa seperti bergerak, bukan begitu?",ini sepertinya masuk akal karena bumi tidak terasa seperti bergerak bukan begitu,ini sepertinya masuk akal karena bumi tidak terasa seperti bergerak bukan begitu,0.4991946220397949,id,1,16000,ok
1921,test,di sisi lain kondisi yang dingin dan bersalju tergolong normal di banyak negara dan lalu lintas terus berlanjut tanpa gangguan sepanjang tahun,"Di sisi lain, kondisi yang dingin dan bersalju tergolong normal di banyak negara dan lalu lintas terus berlanjut tanpa gangguan sepanjang tahun.","Di sisi lain, kondisi yang dingin dan bersalju tergolong normal di banyak negara, dan lalu-lintas terus berlanjut tanpa gangguan sepanjang tahun.",di sisi lain kondisi yang dingin dan bersalju tergolong normal di banyak negara dan lalu lintas terus berlanjut tanpa gangguan sepanjang tahun,di sisi lain kondisi yang dingin dan bersalju tergolong normal di banyak negara dan lalu lintas terus berlanjut tanpa gangguan sepanjang tahun,0.6185157299041748,id,1,16000,ok
1701,test,kambing tampaknya mulai dijinakkan sekitar 10.000 tahun lalu di pegunungan zagros di iran,Kambing tampaknya mulai dijinakkan sekitar 10.000 tahun lalu di pegunungan Zagros di Iran.,Kambing tampaknya mulai dijinakkan sekitar 10.000 tahun lalu di Pegunungan Zakros di Iran.,kambing tampaknya mulai dijinakkan sekitar 10 000 tahun lalu di pegunungan zagros di iran,kambing tampaknya mulai dijinakkan sekitar 10 000 tahun lalu di pegunungan zakros di iran,0.465958833694458,id,1,16000,ok
1731,test,di kepulauan dan danau anda tidak perlu kapal pesiar,"Di kepulauan dan danau, Anda tidak perlu kapal pesiar.",Di kepulauan dan danau Anda tidak perlu kapal pesiar.,di kepulauan dan danau anda tidak perlu kapal pesiar,di kepulauan dan danau anda tidak perlu kapal pesiar,0.5191984176635742,id,1,16000,ok
1715,test,pemberitahuan reguler di metro hanya menggunakan bahasa katalan tetapi gangguan tak terencana diumumkan lewat sistem otomatis dalam berbagai bahasa antara lain spanyol inggris prancis arab dan jepang,"Pemberitahuan reguler di Metro hanya menggunakan bahasa Katalan, tetapi gangguan tak terencana diumumkan lewat sistem otomatis dalam berbagai bahasa, antara lain Spanyol, Inggris, Prancis, Arab, dan Jepang.","Pemberitahuan reguler di metro hanya menggunakan bahasa Katalan, tetapi gangguan tak terencana diumumkan melewak sistem otomatis dalam berbagai bahasa, antara lain Spanyol, Inggris, Prancis, Arab, dan Jepang.",pemberitahuan reguler di metro hanya menggunakan bahasa katalan tetapi gangguan tak terencana diumumkan lewat sistem otomatis dalam berbagai bahasa antara lain spanyol inggris prancis arab dan jepang,pemberitahuan reguler di metro hanya menggunakan bahasa katalan tetapi gangguan tak terencana diumumkan melewak sistem otomatis dalam berbagai bahasa antara lain spanyol inggris prancis arab dan jepang,0.6398823261260986,id,1,16000,ok
1707,test,ini adalah salah satu atraksi utama afrika selatan dan dianggap sebagai andalan taman nasional afrika selatan sanparks,Ini adalah salah satu atraksi utama Afrika Selatan dan dianggap sebagai andalan Taman Nasional Afrika Selatan (SANParks).,Ini adalah salah satu atraksi utama Afrika Selatan dan dianggap sebagai andalan Taman Nasional Afrika Selatan dalam Gunung Sanctum.,ini adalah salah satu atraksi utama afrika selatan dan dianggap sebagai andalan taman nasional afrika selatan sanparks,ini adalah salah satu atraksi utama afrika selatan dan dianggap sebagai andalan taman nasional afrika selatan dalam gunung sanctum,0.4884622097015381,id,1,16000,ok
1998,test,mereka memiliki kaki dengan sisik dan cakar bertelur dan berjalan dengan dua kaki belakang seperti t-rex,"Mereka memiliki kaki dengan sisik dan cakar, bertelur, dan berjalan dengan dua kaki belakang seperti T-Rex.",Mereka memiliki kaki dengan sisik dan cakar bertelur dan berjalan dengan dua kaki belakang seperti T-Rex.,mereka memiliki kaki dengan sisik dan cakar bertelur dan berjalan dengan dua kaki belakang seperti t rex,mereka memiliki kaki dengan sisik dan cakar bertelur dan berjalan dengan dua kaki belakang seperti t rex,0.4747335910797119,id,1,16000,ok
